Latitude,Longitude,Elevation
19.18781000,72.97325000,18.0
19.18781000,72.97321000,18.0
19.18777000,72.97247000,20.0
19.18766000,72.97179000,21.0
19.18739000,72.97117000,23.0
19.18710000,72.97071000,21.0
19.18704000,72.97032000,20.0
19.18711000,72.96951000,21.0
19.18712000,72.96936000,20.0
19.18713000,72.96925000,19.0
19.18737000,72.96838000,18.0
19.18737000,72.96836000,18.0
19.18744000,72.96813000,18.0
19.18747000,72.96762000,17.0
19.18748000,72.96751000,17.0
19.18751000,72.96671000,18.0
19.18760000,72.96623000,17.0
19.18762000,72.96612000,17.0
19.18769000,72.96575000,18.0
19.18784000,72.96537000,18.0
19.18808000,72.96472000,17.0
19.18813000,72.96443000,17.0
19.18818000,72.96414000,16.0
19.18828000,72.96368000,17.0
19.18826000,72.96365000,17.0
19.18826000,72.96362000,17.0
19.18826000,72.96359000,17.0
19.18828000,72.96357000,17.0
19.18801000,72.96304000,16.0
19.18796000,72.96294000,16.0
19.18767000,72.96246000,14.0
19.18730000,72.96202000,14.0
19.18710000,72.96174000,17.0
19.18692000,72.96149000,19.0
19.18652000,72.96078000,19.0
19.18647000,72.96068000,18.0
19.18626000,72.96016000,18.0
19.18611000,72.95955000,19.0
19.18596000,72.95894000,17.0
19.18579000,72.95814000,20.0
19.18573000,72.95786000,19.0
19.18570000,72.95724000,18.0
19.18568000,72.95673000,18.0
19.18544000,72.95592000,15.0
19.18538000,72.95588000,15.0
19.18536000,72.95584000,15.0
19.18534000,72.95577000,16.0
19.18509000,72.95551000,17.0
19.18464000,72.95499000,17.0
19.18456000,72.95484000,18.0
19.18438000,72.95449000,19.0
19.18405000,72.95373000,21.0
19.18389000,72.95335000,20.0
19.18384000,72.95320000,21.0
19.18370000,72.95280000,22.0
19.18355000,72.95211000,25.0
19.18346000,72.95141000,24.0
19.18338000,72.95071000,24.0
19.18333000,72.95011000,25.0
19.18328000,72.94951000,27.0
19.18326000,72.94907000,27.0
19.18318000,72.94858000,27.0
19.18307000,72.94825000,30.0
19.18289000,72.94791000,28.0
19.18257000,72.94757000,28.0
19.18232000,72.94734000,29.0
19.18217000,72.94724000,29.0
19.18161000,72.94685000,28.0
19.18118000,72.94659000,28.0
19.18075000,72.94633000,29.0
19.18027000,72.94608000,27.0
19.17979000,72.94582000,27.0
19.17931000,72.94557000,28.0
19.17883000,72.94531000,28.0
19.17860000,72.94511000,28.0
19.17838000,72.94490000,28.0
19.17819000,72.94468000,28.0
19.17785000,72.94427000,27.0
19.17780000,72.94419000,27.0
19.17775000,72.94415000,27.0
19.17713000,72.94357000,30.0
19.17660000,72.94318000,29.0
19.17611000,72.94286000,27.0
19.17561000,72.94254000,27.0
19.17517000,72.94225000,28.0
19.17473000,72.94195000,25.0
19.17425000,72.94168000,29.0
19.17404000,72.94157000,29.0
19.17377000,72.94144000,28.0
19.17318000,72.94129000,31.0
19.17256000,72.94108000,29.0
19.17194000,72.94087000,26.0
19.17149000,72.94068000,27.0
19.17104000,72.94049000,26.0
19.17058000,72.94030000,26.0
19.17013000,72.94011000,24.0
19.16968000,72.93992000,23.0
19.16922000,72.93973000,22.0
19.16877000,72.93954000,25.0
19.16832000,72.93935000,26.0
19.16786000,72.93915000,22.0
19.16774000,72.93910000,22.0
19.16729000,72.93892000,23.0
19.16684000,72.93873000,21.0
19.16640000,72.93855000,19.0
19.16595000,72.93836000,20.0
19.16550000,72.93818000,21.0
19.16504000,72.93796000,22.0
19.16473000,72.93784000,21.0
19.16452000,72.93780000,21.0
19.16431000,72.93779000,21.0
19.16423000,72.93778000,21.0
19.16385000,72.93775000,19.0
19.16376000,72.93774000,18.0
19.16327000,72.93773000,14.0
19.16279000,72.93771000,14.0
19.16230000,72.93770000,16.0
19.16183000,72.93769000,15.0
19.16136000,72.93767000,17.0
19.16089000,72.93766000,18.0
19.16032000,72.93765000,16.0
19.15988000,72.93764000,16.0
19.15933000,72.93764000,16.0
19.15878000,72.93763000,17.0
19.15823000,72.93763000,15.0
19.15768000,72.93762000,13.0
19.15705000,72.93761000,12.0
19.15633000,72.93759000,12.0
19.15554000,72.93755000,13.0
19.15538000,72.93755000,13.0
19.15487000,72.93755000,12.0
19.15435000,72.93755000,12.0
19.15416000,72.93755000,11.0
19.15389000,72.93755000,11.0
19.15333000,72.93758000,9.0
19.15303000,72.93758000,9.0
19.15241000,72.93760000,13.0
19.15178000,72.93762000,11.0
19.15110000,72.93768000,10.0
19.15060000,72.93775000,12.0
19.15009000,72.93784000,12.0
19.14958000,72.93793000,9.0
19.14910000,72.93800000,6.0
19.14887000,72.93799000,5.0
19.14863000,72.93793000,4.0
19.14837000,72.93784000,7.0
19.14818000,72.93774000,8.0
19.14796000,72.93758000,8.0
19.14745000,72.93717000,7.0
19.14724000,72.93700000,9.0
19.14686000,72.93667000,10.0
19.14648000,72.93633000,11.0
19.14609000,72.93600000,12.0
19.14571000,72.93566000,12.0
19.14533000,72.93533000,13.0
19.14489000,72.93496000,14.0
19.14445000,72.93459000,12.0
19.14413000,72.93433000,14.0
19.14380000,72.93404000,13.0
19.14339000,72.93370000,13.0
19.14291000,72.93331000,16.0
19.14285000,72.93326000,16.0
19.14221000,72.93274000,13.0
19.14207000,72.93262000,11.0
19.14170000,72.93232000,15.0
19.14133000,72.93202000,13.0
19.14105000,72.93182000,12.0
19.14076000,72.93165000,12.0
19.14033000,72.93147000,13.0
19.13980000,72.93124000,11.0
19.13934000,72.93105000,13.0
19.13915000,72.93096000,14.0
19.13869000,72.93075000,13.0
19.13822000,72.93053000,13.0
19.13768000,72.93024000,13.0
19.13714000,72.92995000,13.0
19.13681000,72.92981000,15.0
19.13634000,72.92957000,14.0
19.13586000,72.92932000,14.0
19.13539000,72.92908000,12.0
19.13484000,72.92879000,12.0
19.13452000,72.92863000,12.0
19.13400000,72.92834000,13.0
19.13348000,72.92805000,11.0
19.13314000,72.92788000,9.0
19.13263000,72.92761000,10.0
19.13212000,72.92733000,10.0
19.13181000,72.92716000,9.0
19.13134000,72.92690000,9.0
19.13087000,72.92664000,10.0
19.13040000,72.92639000,10.0
19.12993000,72.92613000,9.0
19.12946000,72.92587000,9.0
19.12908000,72.92564000,11.0
19.12872000,72.92547000,13.0
19.12865000,72.92544000,12.0
19.12827000,72.92533000,12.0
19.12799000,72.92529000,11.0
19.12768000,72.92529000,12.0
19.12711000,72.92530000,15.0
19.12665000,72.92531000,11.0
19.12618000,72.92531000,10.0
19.12572000,72.92532000,10.0
19.12535000,72.92532000,11.0
19.12502000,72.92532000,11.0
19.12436000,72.92531000,14.0
19.12410000,72.92533000,14.0
19.12345000,72.92538000,14.0
19.12284000,72.92542000,17.0
19.12232000,72.92547000,14.0
19.12228000,72.92546000,14.0
19.12225000,72.92546000,14.0
19.12158000,72.92557000,16.0
19.12091000,72.92567000,16.0
19.12086000,72.92567000,16.0
19.12049000,72.92574000,17.0
19.12000000,72.92583000,16.0
19.11960000,72.92590000,16.0
19.11894000,72.92601000,18.0
19.11863000,72.92603000,17.0
19.11775000,72.92610000,18.0
19.11753000,72.92612000,18.0
19.11684000,72.92616000,19.0
19.11645000,72.92619000,18.0
19.11622000,72.92619000,17.0
19.11574000,72.92621000,17.0
19.11527000,72.92622000,20.0
19.11479000,72.92623000,22.0
19.11431000,72.92625000,22.0
19.11423000,72.92625000,21.0
19.11375000,72.92623000,22.0
19.11327000,72.92621000,25.0
19.11279000,72.92619000,25.0
19.11216000,72.92610000,24.0
19.11171000,72.92597000,25.0
19.11126000,72.92583000,27.0
19.11089000,72.92568000,27.0
19.11035000,72.92547000,25.0
19.10972000,72.92505000,23.0
19.10908000,72.92467000,22.0
19.10877000,72.92448000,21.0
19.10833000,72.92419000,21.0
19.10763000,72.92378000,22.0
19.10740000,72.92363000,25.0
19.10717000,72.92349000,26.0
19.10678000,72.92322000,26.0
19.10639000,72.92294000,24.0
19.10599000,72.92266000,25.0
19.10560000,72.92239000,24.0
19.10518000,72.92209000,24.0
19.10477000,72.92178000,23.0
19.10455000,72.92162000,24.0
19.10415000,72.92133000,26.0
19.10375000,72.92104000,25.0
19.10336000,72.92075000,25.0
19.10296000,72.92046000,23.0
19.10256000,72.92017000,21.0
19.10239000,72.92004000,20.0
19.10200000,72.91976000,17.0
19.10162000,72.91947000,19.0
19.10125000,72.91920000,19.0
19.10087000,72.91893000,17.0
19.10050000,72.91866000,16.0
19.10045000,72.91862000,16.0
19.10021000,72.91839000,16.0
19.10002000,72.91821000,15.0
19.09984000,72.91806000,15.0
19.09929000,72.91762000,20.0
19.09889000,72.91731000,18.0
19.09859000,72.91708000,17.0
19.09846000,72.91698000,15.0
19.09806000,72.91663000,15.0
19.09765000,72.91628000,16.0
19.09723000,72.91592000,17.0
19.09716000,72.91587000,17.0
19.09686000,72.91559000,16.0
19.09647000,72.91527000,17.0
19.09609000,72.91496000,15.0
19.09558000,72.91454000,18.0
19.09529000,72.91429000,19.0
19.09520000,72.91422000,19.0
19.09496000,72.91402000,18.0
19.09457000,72.91369000,15.0
19.09417000,72.91337000,17.0
19.09381000,72.91308000,21.0
19.09351000,72.91282000,19.0
19.09343000,72.91275000,18.0
19.09318000,72.91253000,18.0
19.09308000,72.91244000,18.0
19.09289000,72.91227000,17.0
19.09244000,72.91193000,17.0
19.09211000,72.91175000,16.0
19.09204000,72.91169000,16.0
19.09144000,72.91116000,14.0
19.09125000,72.91092000,14.0
19.09088000,72.91039000,16.0
19.09058000,72.90993000,13.0
19.09027000,72.90947000,16.0
19.09001000,72.90906000,18.0
19.08975000,72.90865000,14.0
19.08951000,72.90822000,16.0
19.08926000,72.90780000,21.0
19.08893000,72.90733000,24.0
19.08861000,72.90685000,25.0
19.08828000,72.90638000,23.0
19.08805000,72.90576000,21.0
19.08802000,72.90565000,21.0
19.08799000,72.90549000,21.0
19.08786000,72.90492000,21.0
19.08773000,72.90434000,21.0
19.08761000,72.90365000,24.0
19.08748000,72.90296000,22.0
19.08742000,72.90260000,19.0
19.08732000,72.90209000,17.0
19.08722000,72.90159000,17.0
19.08712000,72.90108000,15.0
19.08702000,72.90057000,18.0
19.08693000,72.90003000,22.0
19.08684000,72.89950000,18.0
19.08675000,72.89896000,17.0
19.08666000,72.89845000,15.0
19.08657000,72.89794000,16.0
19.08647000,72.89742000,14.0
19.08636000,72.89690000,11.0
19.08626000,72.89638000,13.0
19.08624000,72.89631000,13.0
19.08598000,72.89545000,14.0
19.08584000,72.89498000,15.0
19.08570000,72.89451000,13.0
19.08552000,72.89402000,13.0
19.08534000,72.89352000,14.0
19.08517000,72.89302000,15.0
19.08499000,72.89252000,13.0
19.08474000,72.89182000,15.0
19.08462000,72.89095000,16.0
19.08464000,72.89042000,17.0
19.08470000,72.88993000,17.0
19.08475000,72.88943000,17.0
19.08486000,72.88849000,17.0
19.08494000,72.88779000,18.0
19.08502000,72.88708000,13.0
19.08504000,72.88698000,13.0
19.08504000,72.88661000,11.0
19.08495000,72.88612000,10.0
19.08472000,72.88554000,11.0
19.08449000,72.88495000,8.0
19.08433000,72.88451000,9.0
19.08414000,72.88400000,11.0
19.08392000,72.88335000,12.0
19.08363000,72.88295000,9.0
19.08345000,72.88269000,9.0
19.08335000,72.88264000,8.0
19.08293000,72.88242000,7.0
19.08251000,72.88220000,7.0
19.08209000,72.88198000,6.0
19.08167000,72.88176000,5.0
19.08125000,72.88154000,7.0
19.08078000,72.88119000,8.0
19.08032000,72.88083000,7.0
19.07985000,72.88048000,7.0
19.07965000,72.88033000,7.0
19.07931000,72.88007000,7.0
19.07892000,72.87977000,4.0
19.07853000,72.87947000,4.0
19.07813000,72.87917000,4.0
19.07774000,72.87887000,5.0
19.07731000,72.87852000,5.0
19.07687000,72.87817000,6.0
19.07643000,72.87782000,5.0
19.07605000,72.87751000,5.0
19.07587000,72.87735000,5.0
19.07547000,72.87704000,6.0
19.07506000,72.87672000,7.0
19.07446000,72.87626000,6.0
19.07403000,72.87598000,6.0
19.07394000,72.87594000,6.0
19.07335000,72.87582000,7.0
19.07325000,72.87581000,7.0
19.07268000,72.87574000,8.0
19.07211000,72.87567000,7.0
19.07154000,72.87560000,5.0
19.07145000,72.87559000,5.0
19.07121000,72.87556000,5.0
19.07071000,72.87548000,4.0
19.07006000,72.87539000,7.0
19.06961000,72.87531000,9.0
19.06915000,72.87522000,10.0
19.06860000,72.87515000,8.0
19.06806000,72.87508000,8.0
19.06753000,72.87501000,8.0
19.06699000,72.87493000,7.0
19.06651000,72.87485000,5.0
19.06603000,72.87477000,6.0
19.06557000,72.87469000,7.0
19.06495000,72.87457000,8.0
19.06483000,72.87454000,8.0
19.06471000,72.87449000,7.0
19.06428000,72.87429000,6.0
19.06384000,72.87409000,6.0
19.06303000,72.87368000,7.0
19.06257000,72.87345000,7.0
19.06211000,72.87322000,6.0
19.06165000,72.87299000,5.0
19.06116000,72.87283000,6.0
19.06066000,72.87267000,6.0
19.06017000,72.87251000,5.0
19.05999000,72.87241000,5.0
19.05964000,72.87221000,5.0
19.05918000,72.87186000,6.0
19.05872000,72.87151000,4.0
19.05869000,72.87149000,4.0
19.05833000,72.87123000,3.0
19.05780000,72.87085000,3.0
19.05744000,72.87060000,5.0
19.05705000,72.87032000,4.0
19.05667000,72.87004000,4.0
19.05627000,72.86978000,4.0
19.05588000,72.86953000,4.0
19.05548000,72.86927000,3.0
19.05533000,72.86916000,3.0
19.05487000,72.86885000,4.0
19.05443000,72.86852000,4.0
19.05429000,72.86840000,4.0
19.05396000,72.86813000,4.0
19.05391000,72.86809000,4.0
19.05349000,72.86775000,3.0
19.05324000,72.86758000,3.0
19.05293000,72.86733000,3.0
19.05253000,72.86701000,3.0
19.05212000,72.86668000,4.0
19.05172000,72.86636000,2.0
19.05131000,72.86604000,3.0
19.05091000,72.86571000,5.0
19.05050000,72.86539000,7.0
19.05042000,72.86531000,7.0
19.05046000,72.86525000,7.0
19.05084000,72.86482000,6.0
19.05114000,72.86445000,5.0
19.05122000,72.86432000,4.0
19.05129000,72.86417000,4.0
19.05133000,72.86404000,5.0
19.05143000,72.86338000,6.0
19.05150000,72.86282000,6.0
19.05157000,72.86235000,8.0
19.05172000,72.86153000,9.0
19.05184000,72.86113000,10.0
19.05189000,72.86089000,10.0
19.05192000,72.86063000,9.0
19.05194000,72.86048000,9.0
19.05194000,72.86027000,9.0
19.05191000,72.86015000,9.0
19.05184000,72.85977000,6.0
19.05171000,72.85921000,6.0
19.05163000,72.85893000,7.0
19.05154000,72.85874000,8.0
19.05140000,72.85851000,8.0
19.05124000,72.85824000,9.0
19.05103000,72.85800000,10.0
19.05092000,72.85787000,10.0
19.05060000,72.85759000,8.0
19.05032000,72.85739000,5.0
19.04977000,72.85701000,4.0
19.04921000,72.85664000,4.0
19.04911000,72.85659000,4.0
19.04902000,72.85656000,5.0
19.04843000,72.85641000,4.0
19.04834000,72.85638000,3.0
19.04828000,72.85635000,3.0
19.04824000,72.85631000,3.0
19.04822000,72.85622000,3.0
19.04822000,72.85609000,3.0
19.04826000,72.85587000,2.0
19.04834000,72.85549000,2.0
19.04841000,72.85509000,3.0
19.04843000,72.85497000,3.0
19.04845000,72.85474000,3.0
19.04845000,72.85469000,3.0
19.04845000,72.85464000,3.0
19.04843000,72.85436000,3.0
19.04843000,72.85428000,4.0
19.04842000,72.85423000,4.0
19.04831000,72.85386000,5.0
19.04825000,72.85368000,5.0
19.04821000,72.85358000,5.0
19.04814000,72.85345000,4.0
19.04808000,72.85335000,4.0
19.04786000,72.85305000,4.0
19.04755000,72.85271000,4.0
19.04745000,72.85262000,4.0
19.04725000,72.85239000,5.0
19.04696000,72.85207000,4.0
19.04688000,72.85197000,3.0
19.04685000,72.85192000,2.0
19.04682000,72.85188000,2.0
19.04677000,72.85181000,2.0
19.04675000,72.85177000,2.0
19.04672000,72.85172000,2.0
19.04666000,72.85159000,3.0
19.04660000,72.85153000,3.0
19.04653000,72.85147000,4.0
19.04647000,72.85139000,4.0
19.04643000,72.85123000,4.0
19.04638000,72.85101000,4.0
19.04633000,72.85062000,3.0
19.04632000,72.85046000,4.0
19.04632000,72.85031000,4.0
19.04634000,72.85017000,4.0
19.04633000,72.85007000,4.0
19.04625000,72.84984000,4.0
19.04619000,72.84956000,4.0
19.04617000,72.84943000,3.0
19.04614000,72.84930000,2.0
19.04611000,72.84912000,2.0
19.04606000,72.84892000,2.0
19.04605000,72.84884000,2.0
19.04603000,72.84875000,3.0
19.04594000,72.84861000,5.0
19.04588000,72.84854000,6.0
19.04583000,72.84849000,6.0
19.04576000,72.84845000,6.0
19.04582000,72.84832000,6.0
19.04582000,72.84827000,6.0
19.04582000,72.84824000,6.0
19.04581000,72.84820000,6.0
19.04577000,72.84806000,6.0
19.04556000,72.84716000,6.0
19.04550000,72.84693000,7.0
19.04535000,72.84640000,8.0
19.04517000,72.84588000,7.0
19.04508000,72.84565000,6.0
19.04498000,72.84534000,7.0
19.04471000,72.84445000,6.0
19.04461000,72.84414000,6.0
19.04455000,72.84389000,6.0
19.04454000,72.84367000,6.0
19.04457000,72.84347000,7.0
19.04460000,72.84332000,7.0
19.04465000,72.84318000,7.0
19.04469000,72.84306000,7.0
19.04475000,72.84295000,6.0
19.04484000,72.84285000,5.0
19.04510000,72.84265000,4.0
19.04538000,72.84251000,3.0
19.04549000,72.84247000,4.0
19.04571000,72.84239000,6.0
19.04568000,72.84227000,6.0
19.04559000,72.84192000,7.0
19.04551000,72.84161000,7.0
19.04538000,72.84109000,8.0
19.04538000,72.84098000,8.0
19.04528000,72.84087000,8.0
19.04481000,72.84069000,9.0
19.04467000,72.83981000,7.0
19.04460000,72.83931000,7.0
19.04417000,72.83952000,7.0
19.04373000,72.83973000,7.0
19.04330000,72.83994000,6.0
19.04286000,72.84015000,8.0
19.04282000,72.84005000,8.0
19.04246000,72.84005000,8.0
19.04204000,72.83999000,9.0
19.04147000,72.83982000,11.0
19.04091000,72.83965000,13.0
19.04044000,72.83957000,12.0
19.03996000,72.83949000,9.0
19.03952000,72.83944000,7.0
19.03907000,72.83937000,8.0
19.03862000,72.83931000,9.0
19.03839000,72.83927000,9.0
19.03808000,72.83920000,9.0
19.03788000,72.83913000,10.0
19.03781000,72.83913000,10.0
19.03709000,72.83902000,10.0
19.03667000,72.83900000,10.0
19.03612000,72.83900000,11.0
19.03597000,72.83900000,11.0
19.03588000,72.83901000,11.0
19.03571000,72.83900000,10.0
19.03494000,72.83894000,12.0
19.03482000,72.83892000,12.0
19.03469000,72.83891000,11.0
19.03420000,72.83883000,9.0
19.03370000,72.83875000,4.0
19.03363000,72.83879000,4.0
19.03316000,72.83875000,11.0
19.03270000,72.83871000,9.0
19.03252000,72.83869000,8.0
19.03232000,72.83871000,9.0
19.03204000,72.83871000,10.0
19.03184000,72.83873000,11.0
19.03139000,72.83875000,13.0
19.03126000,72.83873000,11.0
19.03082000,72.83870000,12.0
19.03063000,72.83867000,12.0
19.03043000,72.83862000,13.0
19.03021000,72.83854000,12.0
19.02973000,72.83829000,10.0
19.02924000,72.83800000,9.0
19.02866000,72.83766000,10.0
19.02837000,72.83750000,11.0
19.02784000,72.83720000,8.0
19.02741000,72.83699000,9.0
19.02698000,72.83677000,11.0
19.02657000,72.83656000,12.0
19.02616000,72.83635000,12.0
19.02582000,72.83614000,11.0
19.02533000,72.83590000,11.0
19.02480000,72.83560000,14.0
19.02430000,72.83533000,13.0
19.02415000,72.83524000,12.0
19.02363000,72.83500000,11.0
19.02311000,72.83477000,11.0
19.02285000,72.83463000,9.0
19.02259000,72.83449000,7.0
19.02219000,72.83506000,10.0
19.02186000,72.83541000,9.0
19.02174000,72.83537000,8.0
19.02127000,72.83517000,10.0
19.02096000,72.83504000,13.0
19.02050000,72.83482000,13.0
19.02012000,72.83525000,11.0
19.01971000,72.83497000,11.0
19.01954000,72.83486000,11.0
19.01944000,72.83480000,12.0
19.01924000,72.83474000,11.0
19.01908000,72.83469000,11.0
19.01899000,72.83467000,11.0
